Character,Community
Addam-Marbrand,0
Aegon-I-Targaryen,0
Aemon-Targaryen-(Maester-Aemon),6
Aerys-II-Targaryen,5
Aggo,4
Albett,0
Alliser-Thorne,6
Alyn,0
Arthur-Dayne,0
Arya-Stark,1
Arys-Oakheart,0
Balon-Greyjoy,0
Balon-Swann,0
Barristan-Selmy,5
Benjen-Stark,2
Beric-Dondarrion,5
Boros-Blount,5
Bowen-Marsh,6
Bran-Stark,2
Brandon-Stark,5
Bronn,3
Brynden-Tully,3
Catelyn-Stark,2
Cayn,0
Cersei-Lannister,1
Chella,3
Chett,0
Chiggen,3
Clement-Piper,0
Clydas,0
Cohollo,4
Colemon,0
Conn,3
Coratt,0
Daenerys-Targaryen,4
Danwell-Frey,0
Dareon,0
Daryn-Hornwood,0
Desmond,0
Dolf,0
Donal-Noye,0
Donnel-Waynwood,0
Doreah,4
Drogo,4
Dywen,0
Eddard-Stark,1
Edmure-Tully,0
Eon-Hunter,0
Eroeh,0
Fogo,0
Galbart-Glover,0
Gared,0
Gendry,0
Gerold-Hightower,0
Gregor-Clegane,5
Grenn,6
Gunthor-son-of-Gurn,3
Haggo,4
Halder,6
Hali,0
Hallis-Mollen,0
Harwin,0
Harys-Swyft,0
Heward,0
High-Septon-(fat_one),0
Hobb,0
Hodor,0
Hosteen-Frey,0
Hoster-Tully,0
Howland-Reed,0
Hugh,0
Hullen,0
Illyrio-Mopatis,4
Ilyn-Payne,5
Irri,4
Jacks,0
Jafer-Flowers,0
Jaime-Lannister,1
Janos-Slynt,5
Jared-Frey,0
Jaremy-Rykker,0
Jeor-Mormont,6
Jeyne-Poole,5
Jhiqui,4
Jhogo,4
Joffrey-Baratheon,1
Jommo,0
Jon-Arryn,5
Jon-Snow,6
Jon-Umber-(Greatjon),0
Jonos-Bracken,0
Jorah-Mormont,4
Jory-Cassel,5
Joseth,0
Joss,0
Jyck,3
Karyl-Vance,0
Kevan-Lannister,3
Kurleket,3
Lancel-Lannister,0
Leo-Lefford,3
Loras-Tyrell,5
Luwin,2
Lyanna-Stark,5
Lyn-Corbray,0
Lysa-Arryn,5
Mace-Tyrell,0
Maege-Mormont,0
Maegor-I-Targaryen,0
Mance-Rayder,0
Marillion,3
Marq-Piper,0
Masha-Heddle,0
Matthar,0
Meryn-Trant,5
Mirri-Maz-Duur,4
Mord,3
Mordane,5
Moreo-Tumitis,0
Morrec,3
Mya-Stone,0
Mycah,5
Mychel-Redfort,0
Myrcella-Baratheon,5
Nan,0
Nestor-Royce,0
Ogo,0
Osha,0
Oswell-Whent,0
Othor,0
Paxter-Redwyne,0
Petyr-Baelish,1
Porther,0
Pycelle,5
Pypar,6
Qotho,4
Quaro,4
Rakharo,4
Randyll-Tarly,0
Rast,6
Raymun-Darry,0
Renly-Baratheon,5
Rhaegar-Targaryen,5
Rhaego,0
Rickard-Karstark,0
Rickard-Stark,0
Rickon-Stark,2
Robb-Stark,2
Robert-Arryn,3
Robert-Baratheon,1
Rodrik-Cassel,2
Roose-Bolton,0
Samwell-Tarly,6
Sandor-Clegane,5
Sansa-Stark,1
Shae,3
Shagga,3
Stannis-Baratheon,5
Stevron-Frey,0
Stiv,0
Syrio-Forel,0
Theon-Greyjoy,2
Thoros-of-Myr,0
Timett,3
Tobho-Mott,0
Todder,6
Tomard,5
Tommen-Baratheon,3
Torrhen-Karstark,0
Tregar,0
Tyrion-Lannister,2
Tytos-Blackwood,0
Tywin-Lannister,5
Ulf-son-of-Umar,0
Vardis-Egen,3
Varly,0
Varys,5
Vayon-Poole,5
Viserys-Targaryen,4
Walder-Frey,0
Waymar-Royce,0
Wendel-Manderly,0
Will-(prologue),0
Willis-Wode,3
Wyl-(guard),0
Wylla,0
Yoren,3
