Character,Community
Addam-Marbrand,2
Aegon-I-Targaryen,2
Aemon-Targaryen-(Maester-Aemon),0
Aerys-II-Targaryen,2
Aggo,3
Albett,2
Alliser-Thorne,0
Alyn,2
Arthur-Dayne,2
Arya-Stark,5
Arys-Oakheart,2
Balon-Greyjoy,2
Balon-Swann,2
Barristan-Selmy,4
Benjen-Stark,1
Beric-Dondarrion,2
Boros-Blount,2
Bowen-Marsh,0
Bran-Stark,1
Brandon-Stark,2
Bronn,2
Brynden-Tully,2
Catelyn-Stark,1
Cayn,2
Cersei-Lannister,5
Chella,2
Chett,2
Chiggen,2
Clement-Piper,2
Clydas,2
Cohollo,3
Colemon,2
Conn,2
Coratt,2
Daenerys-Targaryen,6
Danwell-Frey,2
Dareon,2
Daryn-Hornwood,2
Desmond,2
Dolf,2
Donal-Noye,2
Donnel-Waynwood,2
Doreah,3
Drogo,6
Dywen,2
Eddard-Stark,5
Edmure-Tully,2
Eon-Hunter,2
Eroeh,2
Fogo,2
Galbart-Glover,2
Gared,2
Gendry,2
Gerold-Hightower,2
Gregor-Clegane,4
Grenn,0
Gunthor-son-of-Gurn,2
Haggo,3
Halder,0
Hali,2
Hallis-Mollen,2
Harwin,2
Harys-Swyft,2
Heward,2
High-Septon-(fat_one),2
Hobb,2
Hodor,2
Hosteen-Frey,2
Hoster-Tully,2
Howland-Reed,2
Hugh,2
Hullen,2
Illyrio-Mopatis,3
Ilyn-Payne,4
Irri,3
Jacks,2
Jafer-Flowers,2
Jaime-Lannister,4
Janos-Slynt,4
Jared-Frey,2
Jaremy-Rykker,2
Jeor-Mormont,0
Jeyne-Poole,2
Jhiqui,3
Jhogo,3
Joffrey-Baratheon,5
Jommo,2
Jon-Arryn,4
Jon-Snow,1
Jon-Umber-(Greatjon),2
Jonos-Bracken,2
Jorah-Mormont,6
Jory-Cassel,1
Joseth,2
Joss,2
Jyck,2
Karyl-Vance,2
Kevan-Lannister,2
Kurleket,2
Lancel-Lannister,2
Leo-Lefford,2
Loras-Tyrell,4
Luwin,1
Lyanna-Stark,2
Lyn-Corbray,2
Lysa-Arryn,4
Mace-Tyrell,2
Maege-Mormont,2
Maegor-I-Targaryen,2
Mance-Rayder,2
Marillion,2
Marq-Piper,2
Masha-Heddle,2
Matthar,2
Meryn-Trant,4
Mirri-Maz-Duur,3
Mord,2
Mordane,4
Moreo-Tumitis,2
Morrec,2
Mya-Stone,2
Mycah,2
Mychel-Redfort,2
Myrcella-Baratheon,2
Nan,2
Nestor-Royce,2
Ogo,2
Osha,2
Oswell-Whent,2
Othor,2
Paxter-Redwyne,2
Petyr-Baelish,4
Porther,2
Pycelle,4
Pypar,0
Qotho,3
Quaro,3
Rakharo,3
Randyll-Tarly,2
Rast,0
Raymun-Darry,2
Renly-Baratheon,4
Rhaegar-Targaryen,3
Rhaego,2
Rickard-Karstark,2
Rickard-Stark,2
Rickon-Stark,1
Robb-Stark,1
Robert-Arryn,2
Robert-Baratheon,5
Rodrik-Cassel,1
Roose-Bolton,2
Samwell-Tarly,0
Sandor-Clegane,4
Sansa-Stark,5
Shae,2
Shagga,2
Stannis-Baratheon,4
Stevron-Frey,2
Stiv,2
Syrio-Forel,2
Theon-Greyjoy,1
Thoros-of-Myr,2
Timett,2
Tobho-Mott,2
Todder,0
Tomard,2
Tommen-Baratheon,2
Torrhen-Karstark,2
Tregar,2
Tyrion-Lannister,1
Tytos-Blackwood,2
Tywin-Lannister,4
Ulf-son-of-Umar,2
Vardis-Egen,2
Varly,2
Varys,4
Vayon-Poole,2
Viserys-Targaryen,3
Walder-Frey,2
Waymar-Royce,2
Wendel-Manderly,2
Will-(prologue),2
Willis-Wode,2
Wyl-(guard),2
Wylla,2
Yoren,2
