Degree Centrality,Closeness Centrality,Pagerank,Eigenvector Centrality,Betweenness Centrality
Eddard-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark
Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon
Tyrion-Lannister,Tyrion-Lannister,Jon-Snow,Sansa-Stark,Tyrion-Lannister
Catelyn-Stark,Catelyn-Stark,Tyrion-Lannister,Tyrion-Lannister,Jon-Snow
Jon-Snow,Robb-Stark,Catelyn-Stark,Joffrey-Baratheon,Catelyn-Stark
Robb-Stark,Jon-Snow,Bran-Stark,Cersei-Lannister,Daenerys-Targaryen
Sansa-Stark,Sansa-Stark,Robb-Stark,Catelyn-Stark,Robb-Stark
Bran-Stark,Bran-Stark,Daenerys-Targaryen,Petyr-Baelish,Drogo
Cersei-Lannister,Cersei-Lannister,Sansa-Stark,Jaime-Lannister,Bran-Stark
Joffrey-Baratheon,Joffrey-Baratheon,Cersei-Lannister,Bran-Stark,Sansa-Stark
Jaime-Lannister,Jaime-Lannister,Arya-Stark,Robb-Stark,Benjen-Stark
Arya-Stark,Arya-Stark,Joffrey-Baratheon,Arya-Stark,Walder-Frey
Petyr-Baelish,Petyr-Baelish,Drogo,Jon-Snow,Jaime-Lannister
Tywin-Lannister,Rodrik-Cassel,Petyr-Baelish,Renly-Baratheon,Jeor-Mormont
Daenerys-Targaryen,Theon-Greyjoy,Jaime-Lannister,Varys,Cersei-Lannister
Jory-Cassel,Tywin-Lannister,Luwin,Jory-Cassel,Tywin-Lannister
Drogo,Luwin,Jeor-Mormont,Tywin-Lannister,Loras-Tyrell
Rodrik-Cassel,Varys,Varys,Rodrik-Cassel,Shagga
Renly-Baratheon,Rickon-Stark,Tywin-Lannister,Sandor-Clegane,Gerold-Hightower
Luwin,Jon-Arryn,Lysa-Arryn,Jon-Arryn,Danwell-Frey
Varys,Jory-Cassel,Renly-Baratheon,Barristan-Selmy,Edmure-Tully
Sandor-Clegane,Renly-Baratheon,Samwell-Tarly,Pycelle,Joffrey-Baratheon
Theon-Greyjoy,Benjen-Stark,Jon-Arryn,Stannis-Baratheon,Lysa-Arryn
Jon-Arryn,Lysa-Arryn,Jory-Cassel,Loras-Tyrell,Jory-Cassel
Lysa-Arryn,Gregor-Clegane,Jorah-Mormont,Theon-Greyjoy,Arya-Stark
Loras-Tyrell,Jeor-Mormont,Bronn,Mordane,Samwell-Tarly
Benjen-Stark,Sandor-Clegane,Theon-Greyjoy,Luwin,Luwin
Barristan-Selmy,Mordane,Pycelle,Gregor-Clegane,Jorah-Mormont
Pycelle,Rickard-Karstark,Rodrik-Cassel,Lysa-Arryn,Jon-Arryn
Jeor-Mormont,Daenerys-Targaryen,Sandor-Clegane,Rickon-Stark,Aemon-Targaryen-(Maester-Aemon)
Jorah-Mormont,Edmure-Tully,Barristan-Selmy,Benjen-Stark,Varys
Stannis-Baratheon,Stannis-Baratheon,Benjen-Stark,Ilyn-Payne,Conn
